GEOID,SUMLEVEL,ST,COUNTY,Total,AssistanceLast12mo,AssistanceLast12moFamily,AssistanceLast12moFamilyMarried,AssistanceLast12moSingleFather,AssistanceLast12moSingleMother,AssistanceLast12moNonFamily,AssistanceLast12mo,NoAssistanceLast12mo,NoAssistanceLast12moFamily,NoAssistanceLast12moFamilyMarried,NoAssistanceLast12moSingleFather,NoAssistanceLast12moSingleMother,NoAssistanceLast12moNonFamily,Tract
04000US06,40,6,null,9215882,2262117,2245292,1048785,240569,955938,16825,6953765,6916831,5200671,541007,1175153,36934,0,null
05000US06037,50,6,37,2365542,591448,588137,256867,65559,265711,3311,1774094,1765830,1259513,152994,353323,8264,0,null
14000US06037101110,140,6,37,1060,264,264,198,10,56,0,796,796,655,77,64,0,0,101110
14000US06037101122,140,6,37,682,97,97,72,0,25,0,585,585,497,0,88,0,0,101122
14000US06037101210,140,6,37,1416,335,335,192,36,107,0,1081,1081,659,109,313,0,0,101210
14000US06037101220,140,6,37,652,120,120,37,34,49,0,532,532,319,64,149,0,0,101220
14000US06037101300,140,6,37,749,28,28,22,6,0,0,721,721,711,0,10,0,0,101300
14000US06037101400,140,6,37,582,126,126,20,6,100,0,456,437,363,8,66,19,0,101400
14000US06037102103,140,6,37,268,19,19,19,0,0,0,249,249,224,8,17,0,0,102103
14000US06037102104,140,6,37,293,35,35,35,0,0,0,258,251,199,26,26,7,0,102104
14000US06037102105,140,6,37,348,90,90,90,0,0,0,258,258,208,0,50,0,0,102105
14000US06037102107,140,6,37,661,136,136,8,0,128,0,525,514,166,110,238,11,0,102107
14000US06037103101,140,6,37,455,174,174,92,43,39,0,281,281,281,0,0,0,0,103101
14000US06037103102,140,6,37,944,310,310,86,131,93,0,634,634,460,10,164,0,0,103102
14000US06037103200,140,6,37,935,77,77,0,65,12,0,858,858,532,145,181,0,0,103200
14000US06037103300,140,6,37,470,99,99,0,0,99,0,371,371,302,0,69,0,0,103300
14000US06037103400,140,6,37,1077,192,192,56,110,26,0,885,885,808,58,19,0,0,103400
14000US06037104103,140,6,37,972,258,258,224,0,34,0,714,714,501,103,110,0,0,104103
14000US06037104105,140,6,37,1897,638,612,166,0,446,26,1259,1240,696,63,481,19,0,104105
14000US06037104108,140,6,37,1595,448,432,135,50,247,16,1147,1147,489,266,392,0,0,104108
14000US06037104124,140,6,37,885,308,308,226,25,57,0,577,577,563,0,14,0,0,104124
14000US06037104201,140,6,37,1345,621,621,399,0,222,0,724,724,535,96,93,0,0,104201
14000US06037104203,140,6,37,1490,385,385,302,0,83,0,1105,1105,749,171,185,0,0,104203
14000US06037104204,140,6,37,998,429,429,313,0,116,0,569,569,458,36,75,0,0,104204
14000US06037104310,140,6,37,1259,364,364,122,54,188,0,895,885,555,150,180,10,0,104310
14000US06037104320,140,6,37,1472,463,463,181,192,90,0,1009,1009,895,0,114,0,0,104320
14000US06037104401,140,6,37,1031,362,362,159,6,197,0,669,669,508,131,30,0,0,104401
14000US06037104403,140,6,37,1009,197,197,131,37,29,0,812,812,337,304,171,0,0,104403
14000US06037104404,140,6,37,742,268,268,51,57,160,0,474,474,332,14,128,0,0,104404
14000US06037104500,140,6,37,900,293,286,156,0,130,7,607,607,363,47,197,0,0,104500
14000US06037104610,140,6,37,1162,444,444,211,10,223,0,718,718,511,89,118,0,0,104610
14000US06037104620,140,6,37,1023,319,319,215,0,104,0,704,704,567,9,128,0,0,104620
14000US06037104701,140,6,37,1650,724,724,234,0,490,0,926,926,591,144,191,0,0,104701
14000US06037104703,140,6,37,609,113,113,38,0,75,0,496,496,277,76,143,0,0,104703
14000US06037104704,140,6,37,1291,253,253,118,55,80,0,1038,1038,751,45,242,0,0,104704
14000US06037104810,140,6,37,1779,873,873,188,518,167,0,906,906,480,150,276,0,0,104810
14000US06037104821,140,6,37,907,298,298,193,51,54,0,609,609,365,28,216,0,0,104821
14000US06037104822,140,6,37,687,220,220,174,0,46,0,467,467,362,14,91,0,0,104822
14000US06037106010,140,6,37,541,118,113,86,27,0,5,423,423,221,51,151,0,0,106010
14000US06037106020,140,6,37,1595,309,284,92,0,192,25,1286,1286,982,120,184,0,0,106020
14000US06037106111,140,6,37,1082,133,133,68,0,65,0,949,949,772,33,144,0,0,106111
14000US06037106112,140,6,37,1644,130,130,110,14,6,0,1514,1514,1215,35,264,0,0,106112
14000US06037106113,140,6,37,977,92,66,66,0,0,26,885,885,592,67,226,0,0,106113
14000US06037106114,140,6,37,1648,610,610,141,44,425,0,1038,1038,549,78,411,0,0,106114
14000US06037106403,140,6,37,860,378,378,290,50,38,0,482,482,437,6,39,0,0,106403
14000US06037106405,140,6,37,878,124,124,27,0,97,0,754,754,597,49,108,0,0,106405
14000US06037106406,140,6,37,1327,342,342,171,0,171,0,985,985,952,0,33,0,0,106406
14000US06037106407,140,6,37,804,276,276,13,0,263,0,528,528,286,0,242,0,0,106407
14000US06037106408,140,6,37,1322,345,327,137,0,190,18,977,977,543,261,173,0,0,106408
14000US06037106510,140,6,37,1128,61,61,0,48,13,0,1067,1067,875,0,192,0,0,106510
14000US06037106520,140,6,37,1284,99,99,21,14,64,0,1185,1185,1023,10,152,0,0,106520
14000US06037106603,140,6,37,728,24,24,24,0,0,0,704,704,574,69,61,0,0,106603
14000US06037106604,140,6,37,1458,254,254,105,35,114,0,1204,1204,588,88,528,0,0,106604
14000US06037106641,140,6,37,396,42,42,38,0,4,0,354,354,319,19,16,0,0,106641
14000US06037106642,140,6,37,665,137,137,63,0,74,0,528,528,458,52,18,0,0,106642
14000US06037106643,140,6,37,963,70,70,35,9,26,0,893,893,794,34,65,0,0,106643
14000US06037106645,140,6,37,776,103,103,103,0,0,0,673,673,613,0,60,0,0,106645
14000US06037106646,140,6,37,767,46,46,40,6,0,0,721,721,495,42,184,0,0,106646
14000US06037106648,140,6,37,1523,751,751,258,284,209,0,772,772,470,29,273,0,0,106648
14000US06037106649,140,6,37,755,41,41,0,0,41,0,714,714,591,123,0,0,0,106649
14000US06037107010,140,6,37,926,109,109,90,0,19,0,817,817,742,47,28,0,0,107010
14000US06037107020,140,6,37,1576,308,308,33,0,275,0,1268,1268,936,103,229,0,0,107020
14000US06037108101,140,6,37,343,33,33,33,0,0,0,310,310,247,0,63,0,0,108101
