GEOID,B19013_001E,SUMLEVEL,ST,COUNTY,BLKGRP,COMPONENT,NAME,TRACT,,,
15000US060371011101,54688,150,6,37,1,0,Block Group 1, Census Tract 1011.10, Los Angeles County, California,101110
15000US060371011102,46158,150,6,37,2,0,Block Group 2, Census Tract 1011.10, Los Angeles County, California,101110
15000US060371011103,66900,150,6,37,3,0,Block Group 3, Census Tract 1011.10, Los Angeles County, California,101110
15000US060371011221,100000,150,6,37,1,0,Block Group 1, Census Tract 1011.22, Los Angeles County, California,101122
15000US060371011222,104044,150,6,37,2,0,Block Group 2, Census Tract 1011.22, Los Angeles County, California,101122
15000US060371012101,39186,150,6,37,1,0,Block Group 1, Census Tract 1012.10, Los Angeles County, California,101210
15000US060371012102,44650,150,6,37,2,0,Block Group 2, Census Tract 1012.10, Los Angeles County, California,101210
15000US060371012201,61080,150,6,37,1,0,Block Group 1, Census Tract 1012.20, Los Angeles County, California,101220
15000US060371012202,33077,150,6,37,2,0,Block Group 2, Census Tract 1012.20, Los Angeles County, California,101220
15000US060371013001,78854,150,6,37,1,0,Block Group 1, Census Tract 1013, Los Angeles County, California,101300
15000US060371013002,89340,150,6,37,2,0,Block Group 2, Census Tract 1013, Los Angeles County, California,101300
15000US060371013003,77647,150,6,37,3,0,Block Group 3, Census Tract 1013, Los Angeles County, California,101300
15000US060371013004,76193,150,6,37,4,0,Block Group 4, Census Tract 1013, Los Angeles County, California,101300
15000US060371014001,52917,150,6,37,1,0,Block Group 1, Census Tract 1014, Los Angeles County, California,101400
15000US060371014002,66193,150,6,37,2,0,Block Group 2, Census Tract 1014, Los Angeles County, California,101400
15000US060371014003,46546,150,6,37,3,0,Block Group 3, Census Tract 1014, Los Angeles County, California,101400
15000US060371021031,60625,150,6,37,1,0,Block Group 1, Census Tract 1021.03, Los Angeles County, California,102103
15000US060371021041,89324,150,6,37,1,0,Block Group 1, Census Tract 1021.04, Los Angeles County, California,102104
15000US060371021042,75000,150,6,37,2,0,Block Group 2, Census Tract 1021.04, Los Angeles County, California,102104
15000US060371021051,56979,150,6,37,1,0,Block Group 1, Census Tract 1021.05, Los Angeles County, California,102105
15000US060371021052,44358,150,6,37,2,0,Block Group 2, Census Tract 1021.05, Los Angeles County, California,102105
15000US060371021071,48036,150,6,37,1,0,Block Group 1, Census Tract 1021.07, Los Angeles County, California,102107
15000US060371021072,47829,150,6,37,2,0,Block Group 2, Census Tract 1021.07, Los Angeles County, California,102107
15000US060371031011,70444,150,6,37,1,0,Block Group 1, Census Tract 1031.01, Los Angeles County, California,103101
15000US060371031012,62396,150,6,37,2,0,Block Group 2, Census Tract 1031.01, Los Angeles County, California,103101
15000US060371031021,99095,150,6,37,1,0,Block Group 1, Census Tract 1031.02, Los Angeles County, California,103102
15000US060371031022,80662,150,6,37,2,0,Block Group 2, Census Tract 1031.02, Los Angeles County, California,103102
15000US060371031023,65938,150,6,37,3,0,Block Group 3, Census Tract 1031.02, Los Angeles County, California,103102
15000US060371031024,39250,150,6,37,4,0,Block Group 4, Census Tract 1031.02, Los Angeles County, California,103102
