GEOID,B17026_001E,B17026_002E,B17026_003E,B17026_004E,B17026_005E,B17026_006E,B17026_007E,B17026_008E,B17026_009E,B17026_010E,B17026_011E,B17026_012E,B17026_013E,SUMLEVEL,ST,COUNTY,NAME,COMPONENT,TRACT
04000US06,8603822,401978,292341,335736,373991,393913,379180,139331,212130,1278538,1037021,834096,2925567,40,6,null,California,0,null
05000US06037,2170631,114664,89476,103412,115317,119598,109956,39088,61149,340589,256961,191175,629246,50,6,37,"Los Angeles County, California",0,null
14000US06037101110,1224,66,71,60,89,45,92,9,41,147,166,102,336,140,6,37,"Census Tract 1011.10, Los Angeles County, California",0,101110
14000US06037101122,954,27,0,0,7,3,34,0,0,60,153,95,575,140,6,37,"Census Tract 1011.22, Los Angeles County, California",0,101122
14000US06037101210,1471,119,51,155,85,179,45,30,64,291,163,145,144,140,6,37,"Census Tract 1012.10, Los Angeles County, California",0,101210
14000US06037101220,768,52,66,26,50,103,26,11,11,196,39,64,124,140,6,37,"Census Tract 1012.20, Los Angeles County, California",0,101220
14000US06037101300,1112,9,8,0,0,22,19,11,6,175,230,152,480,140,6,37,"Census Tract 1013, Los Angeles County, California",0,101300
14000US06037101400,1098,124,13,40,8,113,49,17,20,133,102,149,330,140,6,37,"Census Tract 1014, Los Angeles County, California",0,101400
14000US06037102103,407,5,0,0,3,7,15,0,0,140,64,35,138,140,6,37,"Census Tract 1021.03, Los Angeles County, California",0,102103
14000US06037102104,831,0,13,13,0,29,31,0,0,51,97,126,471,140,6,37,"Census Tract 1021.04, Los Angeles County, California",0,102104
14000US06037102105,394,9,15,35,14,14,0,36,15,81,42,40,93,140,6,37,"Census Tract 1021.05, Los Angeles County, California",0,102105
14000US06037102107,841,141,17,33,75,41,44,28,0,98,78,135,151,140,6,37,"Census Tract 1021.07, Los Angeles County, California",0,102107
14000US06037103101,636,14,13,13,12,5,26,10,13,100,76,118,236,140,6,37,"Census Tract 1031.01, Los Angeles County, California",0,103101
14000US06037103102,1130,14,3,0,12,43,4,12,57,249,240,89,407,140,6,37,"Census Tract 1031.02, Los Angeles County, California",0,103102
14000US06037103200,1264,23,93,58,0,66,12,37,21,138,149,74,593,140,6,37,"Census Tract 1032, Los Angeles County, California",0,103200
14000US06037103300,827,17,13,40,0,13,8,0,0,61,52,82,541,140,6,37,"Census Tract 1033, Los Angeles County, California",0,103300
14000US06037103400,1601,26,47,25,23,59,124,21,8,281,209,331,447,140,6,37,"Census Tract 1034, Los Angeles County, California",0,103400
14000US06037104103,671,13,0,0,53,69,16,6,53,120,135,152,54,140,6,37,"Census Tract 1041.03, Los Angeles County, California",0,104103
14000US06037104105,1296,158,111,84,82,110,72,0,6,252,270,73,78,140,6,37,"Census Tract 1041.05, Los Angeles County, California",0,104105
