GEOID,SUMLEVEL,SUMLEVEL,ST,COUNTY,B22001_001E,B22001_002E,B22001_003E,B22001_004E,B22001_005E,B22001_006E,B22001_007E,COMPONENT,NAME,STUSAB,BTTR,BTBG,TRACT
04000US06,40,40,6,null,12542460,1012610,200599,812011,11529850,4095743,7434107,0,California,CA,null,null,null
04001US06,40,40,6,null,11891738,967644,189332,778312,10924094,3809978,7114116,1,California -- Urban,CA,null,null,null
04043US06,40,40,6,null,650722,44966,11267,33699,605756,285765,319991,43,California -- Rural,CA,null,null,null
040A0US06,40,40,6,null,12432924,1003100,198476,804624,11429824,4046889,7382935,A0,California -- In metropolitan or micropolitan statistical area,CA,null,null,null
040C0US06,40,40,6,null,12213317,981833,194487,787346,11231484,3956881,7274603,C0,California -- In metropolitan statistical area,CA,null,null,null
040C1US06,40,40,6,null,5880363,485645,90829,394816,5394718,1772296,3622422,C1,California -- In metropolitan statistical area -- in principal city,CA,null,null,null
040C2US06,40,40,6,null,6332954,496188,103658,392530,5836766,2184585,3652181,C2,California -- In metropolitan statistical area -- not in principal city,CA,null,null,null
040E0US06,40,40,6,null,219607,21267,3989,17278,198340,90008,108332,E0,California -- In micropolitan statistical area,CA,null,null,null
040E1US06,40,40,6,null,60406,7566,961,6605,52840,19677,33163,E1,California -- In micropolitan statistical area -- in principal city,CA,null,null,null
040E2US06,40,40,6,null,159201,13701,3028,10673,145500,70331,75169,E2,California -- In micropolitan statistical area -- not in principal city,CA,null,null,null
040G0US06,40,40,6,null,109536,9510,2123,7387,100026,48854,51172,G0,California -- Not in metropolitan or micropolitan statistical area,CA,null,null,null
040H0US06,40,40,6,null,329143,30777,6112,24665,298366,138862,159504,H0,California -- Not in metropolitan statistical area,CA,null,null,null
05000US06037,50,50,6,37,3230383,251947,50053,201894,2978436,1021066,1957370,0,"Los Angeles County, California",CA,null,null,null
14000US06037101110,140,140,6,37,1682,81,38,43,1601,488,1113,0,"Census Tract 1011.10, Los Angeles County, California",CA,null,null,101110
14000US06037101122,140,140,6,37,1228,27,10,17,1201,439,762,0,"Census Tract 1011.22, Los Angeles County, California",CA,null,null,101122
14000US06037101210,140,140,6,37,2216,199,22,177,2017,562,1455,0,"Census Tract 1012.10, Los Angeles County, California",CA,null,null,101210
14000US06037101220,140,140,6,37,1167,73,0,73,1094,415,679,0,"Census Tract 1012.20, Los Angeles County, California",CA,null,null,101220
14000US06037101300,140,140,6,37,1529,5,5,0,1524,579,945,0,"Census Tract 1013, Los Angeles County, California",CA,null,null,101300
14000US06037101400,140,140,6,37,1534,117,63,54,1417,584,833,0,"Census Tract 1014, Los Angeles County, California",CA,null,null,101400
14000US06037102103,140,140,6,37,680,8,8,0,672,294,378,0,"Census Tract 1021.03, Los Angeles County, California",CA,null,null,102103
14000US06037102104,140,140,6,37,1310,0,0,0,1310,514,796,0,"Census Tract 1021.04, Los Angeles County, California",CA,null,null,102104
14000US06037102105,140,140,6,37,570,30,0,30,540,177,363,0,"Census Tract 1021.05, Los Angeles County, California",CA,null,null,102105
14000US06037102107,140,140,6,37,1216,148,62,86,1068,535,533,0,"Census Tract 1021.07, Los Angeles County, California",CA,null,null,102107
14000US06037103101,140,140,6,37,904,38,20,18,866,359,507,0,"Census Tract 1031.01, Los Angeles County, California",CA,null,null,103101
14000US06037103102,140,140,6,37,1661,101,18,83,1560,623,937,0,"Census Tract 1031.02, Los Angeles County, California",CA,null,null,103102
