GEOID,SUMLEVEL,ST,COUNTY,Total,ReceivedSNAPLast12mo,ReceivedSNAPLast12moBelowPov,ReceivedSNAPLast12moAtOrAbovePov,NOSNAPLast12mo,NOSNAPLast12moPov,NoSNAPLast12MoAtOrAbovePov,COMPONENT,TRACT
04000US06,40,6,null,12542460,1012610,527557,485053,11529850,1236914,10292936,0,null
05000US06037,50,6,37,3230383,251947,135565,116382,2978436,391685,2586751,0,null
14000US06037101110,140,6,37,1682,81,43,38,1601,248,1353,0,101110
14000US06037101122,140,6,37,1228,27,0,27,1201,73,1128,0,101122
14000US06037101210,140,6,37,2216,199,75,124,2017,470,1547,0,101210
14000US06037101220,140,6,37,1167,73,39,34,1094,198,896,0,101220
14000US06037101300,140,6,37,1529,5,0,5,1524,104,1420,0,101300
14000US06037101400,140,6,37,1534,117,39,78,1417,231,1186,0,101400
14000US06037102103,140,6,37,680,8,0,8,672,5,667,0,102103
14000US06037102104,140,6,37,1310,0,0,0,1310,45,1265,0,102104
14000US06037102105,140,6,37,570,30,24,6,540,90,450,0,102105
14000US06037102107,140,6,37,1216,148,86,62,1068,156,912,0,102107
14000US06037103101,140,6,37,904,38,0,38,866,69,797,0,103101
14000US06037103102,140,6,37,1661,101,26,75,1560,134,1426,0,103102
14000US06037103200,140,6,37,2169,43,20,23,2126,349,1777,0,103200
14000US06037103300,140,6,37,1280,13,13,0,1267,105,1162,0,103300
14000US06037103400,140,6,37,2434,231,33,198,2203,239,1964,0,103400
14000US06037104103,140,6,37,768,43,7,36,725,14,711,0,104103
14000US06037104105,140,6,37,1434,237,167,70,1197,198,999,0,104105
14000US06037104108,140,6,37,1355,170,71,99,1185,319,866,0,104108
14000US06037104124,140,6,37,1185,132,19,113,1053,119,934,0,104124
14000US06037104201,140,6,37,881,163,28,135,718,90,628,0,104201
14000US06037104203,140,6,37,1011,99,47,52,912,247,665,0,104203
14000US06037104204,140,6,37,714,118,68,50,596,128,468,0,104204
14000US06037104310,140,6,37,840,113,66,47,727,108,619,0,104310
14000US06037104320,140,6,37,1122,205,67,138,917,210,707,0,104320
14000US06037104401,140,6,37,625,101,74,27,524,34,490,0,104401
14000US06037104403,140,6,37,616,52,22,30,564,136,428,0,104403
14000US06037104404,140,6,37,595,63,35,28,532,131,401,0,104404
14000US06037104500,140,6,37,654,83,51,32,571,127,444,0,104500
14000US06037104610,140,6,37,733,125,102,23,608,155,453,0,104610
14000US06037104620,140,6,37,736,74,55,19,662,58,604,0,104620
14000US06037104701,140,6,37,873,318,169,149,555,125,430,0,104701
14000US06037104703,140,6,37,511,82,53,29,429,109,320,0,104703
14000US06037104704,140,6,37,1114,120,88,32,994,132,862,0,104704
14000US06037104810,140,6,37,1035,208,118,90,827,80,747,0,104810
14000US06037104821,140,6,37,745,77,23,54,668,99,569,0,104821
14000US06037104822,140,6,37,517,112,47,65,405,127,278,0,104822
14000US06037106010,140,6,37,861,51,39,12,810,30,780,0,106010
14000US06037106020,140,6,37,1346,50,23,27,1296,111,1185,0,106020
14000US06037106111,140,6,37,1394,38,32,6,1356,122,1234,0,106111
14000US06037106112,140,6,37,1483,19,8,11,1464,213,1251,0,106112
14000US06037106113,140,6,37,921,52,9,43,869,57,812,0,106113
14000US06037106114,140,6,37,1515,161,133,28,1354,229,1125,0,106114
14000US06037106403,140,6,37,697,96,7,89,601,27,574,0,106403
14000US06037106405,140,6,37,955,29,29,0,926,83,843,0,106405
14000US06037106406,140,6,37,1379,99,39,60,1280,54,1226,0,106406
14000US06037106407,140,6,37,760,82,53,29,678,132,546,0,106407
14000US06037106408,140,6,37,965,174,50,124,791,164,627,0,106408
14000US06037106510,140,6,37,1489,30,0,30,1459,103,1356,0,106510
14000US06037106520,140,6,37,1278,69,19,50,1209,196,1013,0,106520
14000US06037106603,140,6,37,1005,0,0,0,1005,33,972,0,106603
14000US06037106604,140,6,37,1157,106,37,69,1051,162,889,0,106604
14000US06037106641,140,6,37,733,4,4,0,729,9,720,0,106641
14000US06037106642,140,6,37,1117,51,48,3,1066,62,1004,0,106642
