Name,Address,Address2,City,State,Zip,County,Lat,Long
VONS #2262, 710 BROADWAY,0,SANTA MONICA,CA,90401, LOS ANGELES,34.017175,-118.48998
VONS #2283, 1221 GAFFEY ST,0,SAN PEDRO,CA,90731, LOS ANGELES,33.732871,-118.29235
VONS #2268,S 1430 FAIRFAX AVE,0,LOS ANGELES,CA,90019, LOS ANGELES,34.050463,-118.36621
VONS #2273, 245 PALOS VERDES BLVD,0,REDONDO BEACH,CA,90277, LOS ANGELES,33.816212,-118.38615
VONS #2861,E 600 BROADWAY,0,LONG BEACH,CA,90802, LOS ANGELES,33.768831,-118.18426
VONS #3263,N 1342 ALVARADO ST,0,LOS ANGELES,CA,90027, LOS ANGELES,34.079701,-118.26218
VONS #2254,W 311 LOS FELIZ BLVD,0,GLENDALE,CA,91204, LOS ANGELES,34.128637,-118.2585
PAVILIONS #2226, 14845 VENTURA BLVD,0,SHERMAN OAKS,CA,91403, LOS ANGELES,34.152266,-118.45677
VONS #2261,W 3461 THIRD ST,0,LOS ANGELES,CA,90020, LOS ANGELES,34.069691,-118.2908
PAVILIONS #3237,W 9467 OLYMPIC BLVD,0,BEVERLY HILLS,CA,90212, LOS ANGELES,34.059997,-118.39979
SUPER A FOODS #07, 2925 DIVISION ST,0,LOS ANGELES,CA,90065, LOS ANGELES,34.103505,-118.23577
SUPER A FOODS #04, 13120 DOWNEY AVE,0,PARAMOUNT,CA,90723, LOS ANGELES,33.914099,-118.15132
SUPER A FOODS #05,E 6380 FLORENCE AVE,0,BELL GARDENS,CA,90201, LOS ANGELES,33.971926,-118.2027
VONS #2078, 9119 RESEDA BLVD,0,NORTHRIDGE,CA,91324, LOS ANGELES,34.235981,-118.53726
VONS #2034, 13730 FOOTHILL BLVD,0,SYLMAR,CA,91342, LOS ANGELES,34.309064,-118.43238
VONS #2077,S 3118 SEPULVEDA BLVD,0,LOS ANGELES,CA,90034, LOS ANGELES,34.02664,-118.42726
VONS #3083,N 301 PASS AVE,0,BURBANK,CA,91505, LOS ANGELES,34.154841,-118.34625
VONS #2108, 1212 BERYL ST,0,REDONDO BEACH,CA,90277, LOS ANGELES,33.854673,-118.38044
VONS #2124, 7789 FOOTHILL BLVD,0,TUJUNGA,CA,91042, LOS ANGELES,34.259128,-118.3017
RALPHS #710, 21431 DEVONSHIRE ST,0,CHATSWORTH,CA,91311, LOS ANGELES,34.257231,-118.59806
RALPHS #721, 22333 SHERMAN WAY,0,CANOGA PARK,CA,91303, LOS ANGELES,34.201803,-118.61353
JON'S MARKET #01,W 3667 THIRD ST,0,LOS ANGELES,CA,90020, LOS ANGELES,34.069029,-118.29585
RALPHS #278, 8701 LINCOLN BLVD,0,LOS ANGELES,CA,90045, LOS ANGELES,33.958046,-118.41838
VONS #2655,N 7311 FIGUEROA ST,0,LOS ANGELES,CA,90041, LOS ANGELES,34.136153,-118.18948
TRESIERRAS MARKET #1, 13158 VAN NUYS BLVD,0,PACOIMA,CA,91331, LOS ANGELES,34.267712,-118.41926
WHITTIER MARKET, 4045 WHITTIER BLVD,0,LOS ANGELES,CA,90023, LOS ANGELES,34.023929,-118.18459
TOP VALU #03, 10819 HAWTHORNE BLVD,0,LENNOX,CA,90304, LOS ANGELES,33.937568,-118.35326
RALPHS #251,E 2930 FOURTH ST,0,LONG BEACH,CA,90814, LOS ANGELES,33.771437,-118.15729
RALPHS #284, 10772 JEFFERSON BLVD,0,CULVER CITY,CA,90230, LOS ANGELES,34.002209,-118.39437
FOOD 4 LESS #326, 20155 SATICOY,0,CANOGA PARK,CA,91306, LOS ANGELES,34.208335,-118.57381
VONS #2272, 123 METROPOLE AVE,0,AVALON,CA,90704, LOS ANGELES,33.344135,-118.3272
VONS #2275, 410 MANHATTAN BEACH BLVD,0,MANHATTAN BEACH,CA,90266, LOS ANGELES,33.88506,-118.40785
VONS #2266, 17380 SUNSET BLVD,0,PACIFIC PALISADES,CA,90272, LOS ANGELES,34.039552,-118.55461
VONS #2858,E 2355 COLORADO BLVD,0,PASADENA,CA,91107, LOS ANGELES,34.146094,-118.10188
