OSHPD_ID,FACILITY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,HYPERLINK TO ATLAS,LONGITUDE,LATITUDE
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,19,LOS ANGELES,Emergency - Basic,144,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190017,-118.1449,34.08988
106190020,BHC ALHAMBRA HOSPITAL,4619 ROSEMEAD BOULEVARD,ROSEMEAD,91770,19,LOS ANGELES,Not Applicable,97,Open,01/01/1946,Hospital,Acute Psychiatric Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190020,-118.07352,34.08926
106190034,ANTELOPE VALLEY HOSPITAL,1600 WEST AVENUE J,LANCASTER,93534,19,LOS ANGELES,Emergency - Basic,420,Open,09/27/1955,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190034,-118.15767,34.68928
106190045,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,90704,19,LOS ANGELES,Emergency - Standby,12,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190045,-118.33369,33.33887
106190049,KINDRED HOSPITAL - BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,91706,19,LOS ANGELES,,95,Open,12/23/2003,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190049,-117.96801,34.06398
106190052,BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,LOS ANGELES,90026,19,LOS ANGELES,,105,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190052,-118.24744,34.08058
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,1050 LINDEN AVENUE,LONG BEACH,90813,19,LOS ANGELES,Emergency - Basic,389,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190053,-118.1866412,33.7802376
106190066,BELLFLOWER MEDICAL CENTER,9542 EAST ARTESIA BOULEVARD,BELLFLOWER,90706,19,LOS ANGELES,Emergency - Basic,144,Suspense,04/09/2013,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190066,-118.13052,33.87466
106190081,BEVERLY HOSPITAL,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,19,LOS ANGELES,Emergency - Basic,224,Open,01/01/1946,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190081,-118.10132,34.01614
106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,3828 DELMAS TERRACE,CULVER CITY,90231,19,LOS ANGELES,Emergency - Basic,420,Open,01/01/2013,Hospital,General Acute Care Hospital,http://gis.oshpd.ca.gov/atlas/places/facility/106190110,-118.39724,34.02328
